,,,2016,,2012,,2008,,,,,,,,,,,,,,,
CD,Incumbent,Party,Clinton,Trump,Obama,Romney,Obama,McCain,,,,,,,,,,,,,,
AK-AL,"Young, Don",(R),37.6,52.8,41.2,55.3,38.1,59.7,0.0,0.0,1.0,1.0,0.0,1.0,6,3,2,3,1,7,,
AL-01,"Byrne, Bradley",(R),34.1,63.5,37.4,61.8,38.5,60.9,0.0,0.0,0.0,1.0,0.0,1.0,1,5,4,8,5,9,,"DO NOT ASK FOR ACCESS TO THIS SPREADSHEET! You may download a copy for your personal use by clicking on ""File"" then ""Download as."""
AL-02,"Roby, Martha",(R),33.0,64.9,36.4,62.9,35.0,64.5,1.0,1.0,1.0,0.0,0.0,0.0,0,9,4,9,0,5,,
AL-03,"Rogers, Mike",(R),32.3,65.3,36.8,62.3,36.6,62.6,1.0,0.0,1.0,0.0,1.0,0.0,3,3,8,3,6,6,,
AL-04,"Aderholt, Rob",(R),17.4,80.4,24.0,74.8,25.5,73.3,1.0,0.0,0.0,1.0,1.0,0.0,4,4,0,8,5,3,,
AL-05,"Brooks, Mo",(R),31.3,64.7,34.9,63.9,36.3,62.6,1.0,1.0,0.0,0.0,1.0,0.0,3,7,9,9,3,6,,
AL-06,"Palmer, Gary",(R),26.1,70.8,24.7,74.3,25.0,74.1,1.0,0.0,0.0,1.0,1.0,1.0,1,8,7,3,0,1,,
AL-07,"Sewell, Terri",(D),69.8,28.6,72.4,27.1,71.5,28.1,0.0,1.0,1.0,1.0,0.0,1.0,8,6,4,1,5,1,,
AR-01,"Crawford, Rick",(R),30.2,65.0,36.3,61.0,39.2,58.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0,3,0,2,0,,
AR-02,"Hill, French",(R),41.7,52.4,42.9,54.7,44.3,53.8,0.0,0.0,1.0,1.0,0.0,0.0,7,4,9,7,3,8,,
AR-03,"Womack, Steve",(R),30.5,61.9,31.6,65.5,33.9,63.7,0.0,1.0,0.0,0.0,0.0,0.0,5,9,6,5,9,9,,
AR-04,"Westerman, Bruce",(R),31.3,64.2,35.9,61.8,37.4,59.9,1.0,0.0,0.0,1.0,1.0,1.0,3,2,9,8,4,9,,
AZ-01,"O'Halleran, Tom",(D),46.6,47.7,47.9,50.4,47.8,51.0,1.0,0.0,0.0,1.0,1.0,0.0,6,7,9,4,8,0,,
AZ-02,"McSally, Martha",(R),49.6,44.7,48.4,49.9,48.9,49.8,1.0,1.0,0.0,1.0,1.0,1.0,6,7,4,9,9,8,,
AZ-03,"Grijalva, Raul",(D),62.4,32.5,61.4,36.9,58.2,40.7,1.0,1.0,1.0,1.0,0.0,1.0,4,5,4,9,2,7,,
AZ-04,"Gosar, Paul",(R),27.5,67.7,31.0,67.2,34.4,64.2,1.0,0.0,1.0,0.0,0.0,0.0,5,7,0,2,4,2,,
AZ-05,"Biggs, Andy",(R),36.5,57.6,34.6,63.8,36.3,62.6,1.0,1.0,0.0,0.0,0.0,1.0,5,6,6,8,3,6,,
AZ-06,"Schweikert, David",(R),42.4,52.4,38.8,59.5,41.2,57.7,1.0,1.0,1.0,1.0,0.0,1.0,4,4,8,5,2,7,,
AZ-07,"Gallego, Ruben",(D),71.8,22.6,71.7,26.5,64.7,34.1,0.0,1.0,0.0,1.0,1.0,0.0,8,6,7,5,7,1,,
AZ-08,"Lesko, Debbie",(R),37.0,58.1,36.9,61.7,38.4,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0,1,9,7,4,6,,
AZ-09,"Sinema, Kyrsten",(D),54.7,38.4,51.1,46.6,51.3,47.4,0.0,1.0,1.0,0.0,0.0,0.0,7,4,1,6,3,4,,
CA-01,"LaMalfa, Doug",(R),36.5,56.2,40.3,56.6,42,53,1,0,0,0,1,0,5,2,3,6,0,0,,
CA-02,"Huffman, Jared",(D),69.0,23.3,69.0,27.0,71,25,1,1,1,0,1,0,0,3,0,0,7,3,,
CA-03,"Garamendi, John",(D),53.0,40.4,54.3,43.1,55,42,0,0,1,0,1,0,0,4,3,1,1,9,,
CA-04,"McClintock, Tom",(R),39.3,54.0,39.5,57.9,43,54,0,1,1,0,0,1,3,0,5,9,5,5,,
CA-05,"Thompson, Mike",(D),69.2,24.3,69.7,27.5,70,26,0,0,1,0,0,1,2,3,7,5,5,5,,
CA-06,"Matsui, Doris",(D),69.2,24.4,69.1,28.3,68,29,0,1,1,0,0,1,2,4,1,3,8,2,,
CA-07,"Bera, Ami",(D),52.3,40.9,50.8,46.8,51,46,1,0,0,1,1,0,3,9,8,8,7,3,,
CA-08,"Cook, Paul",(R),39.6,54.7,41.7,55.6,42,55,1,1,0,1,1,0,6,7,7,6,5,5,,
CA-09,"McNerney, Jerry",(D),56.6,38.0,57.8,40.1,56,41,0,0,1,1,1,0,6,0,8,1,0,0,,
CA-10,"Denham, Jeff",(R),48.5,45.5,50.6,47.0,50,47,1,1,1,1,1,0,5,5,6,0,4,6,,
CA-11,"DeSaulnier, Mark",(D),71.5,22.7,67.6,30.0,69,28,1,0,1,0,1,0,5,7,6,0,7,3,,
CA-12,"Pelosi, Nancy",(D),86.2,8.7,84.1,12.5,84,13,0,0,1,0,0,1,2,7,1,5,8,2,,
CA-13,"Lee, Barbara",(D),87.4,6.8,87.5,9.0,87,10,0,1,1,0,1,0,4,8,5,0,7,3,,
CA-14,"Speier, Jackie",(D),76.9,18.2,74.2,23.6,73,24,1,1,1,0,0,1,9,2,2,6,0,0,,
CA-15,"Swalwell, Eric",(D),69.9,24.2,68.0,29.8,67,30,1,0,1,1,0,1,9,2,0,8,0,0,,
CA-16,"Costa, Jim",(D),58.0,36.4,58.6,39.4,57,40,0,0,0,0,1,0,0,4,6,4,4,6,,
CA-17,"Khanna, Ro",(D),73.9,20.5,71.9,25.5,69,28,1,0,1,1,1,0,9,5,9,5,2,8,,
CA-18,"Eshoo, Anna",(D),73.4,20.2,68.2,28.9,70,27,1,1,1,1,1,0,4,2,2,9,8,2,,
CA-19,"Lofgren, Zoe",(D),72.9,21.5,71.2,26.5,68,29,1,0,1,1,1,0,9,5,2,5,9,1,,
CA-20,"Panetta, Jimmy",(D),70.4,23.2,70.9,26.2,71,26,0,1,0,0,1,0,4,2,9,2,4,6,,
CA-21,"Valadao, David",(R),55.2,39.7,54.6,43.5,52,46,1,0,1,1,1,0,2,7,6,5,6,4,,
CA-22,"Nunes, Devin",(R),42.6,52.1,41.6,56.6,42,55,0,0,0,0,1,0,6,1,6,6,8,2,,
CA-23,"McCarthy, Kevin",(R),36.1,58.1,36.1,61.5,36,61,0,1,1,1,0,1,1,1,1,5,5,5,,
CA-24,"Carbajal, Salud",(D),56.7,36.5,54.1,43.1,56,41,0,0,0,1,1,0,7,5,1,1,8,2,,
CA-25,"Knight, Steve",(R),50.3,43.6,47.9,49.7,49,48,1,1,1,0,1,0,3,6,8,7,7,3,,
CA-26,"Brownley, Julia",(D),57.9,36.0,54.0,43.7,56,41,0,1,0,1,0,1,9,0,0,7,8,2,,
CA-27,"Chu, Judy",(D),66.0,28.4,62.6,35.0,61,35,0,0,1,0,0,1,0,4,6,0,1,9,,
CA-28,"Schiff, Adam",(D),72.1,22.3,70.3,26.5,70,26,1,1,1,1,0,1,1,3,3,5,1,9,,
CA-29,"Cardenas, Tony",(D),77.7,16.8,77.0,20.5,74,23,1,1,1,1,1,0,7,8,0,5,0,0,,
CA-30,"Sherman, Brad",(D),69.1,25.7,65.3,32.1,66,31,0,0,1,1,1,0,1,7,3,1,3,7,,
CA-31,"Aguilar, Pete",(D),57.7,36.6,57.2,40.6,56,41,0,0,1,1,0,1,7,6,2,6,0,0,,
CA-32,"Napolitano, Grace",(D),66.6,27.7,65.2,32.5,62,35,0,0,0,0,1,0,6,7,2,5,3,7,,
CA-33,"Lieu, Ted",(D),67.8,26.5,60.6,36.8,64,33,1,0,1,0,1,0,8,5,6,8,5,5,,
CA-34,"Gomez, Jimmy",(D),83.6,10.7,83.0,14.1,77,19,0,1,0,1,1,0,6,7,0,1,6,4,,
CA-35,"Torres, Norma",(D),67.7,26.9,67.4,30.6,64,32,1,1,0,0,1,0,7,9,4,6,4,6,,
CA-36,"Ruiz, Raul",(D),52.2,43.4,50.7,47.5,50,47,0,1,0,1,1,0,2,4,7,5,8,2,,
CA-37,"Bass, Karen",(D),85.7,9.6,84.9,12.7,84,13,0,1,1,1,0,1,7,6,9,7,4,6,,
CA-38,"Sanchez, Linda",(D),67.0,27.4,64.9,33.0,61,35,0,1,0,0,0,1,0,4,9,0,8,2,,
CA-39,"Royce, Ed",(R),51.5,42.9,47.1,50.8,47,49,0,0,0,0,1,0,5,9,1,8,8,2,,
CA-40,"Roybal-Allard, Lucille",(D),82.2,12.8,81.5,16.5,77,19,1,0,0,1,1,0,2,8,5,5,5,5,,
CA-41,"Takano, Mark",(D),61.0,33.1,61.5,36.3,59,38,0,1,1,1,1,0,0,1,5,3,7,3,,
CA-42,"Calvert, Ken",(R),41.4,53.4,41.4,56.5,43,54,1,0,0,1,0,1,4,4,4,5,0,0,,
CA-43,"Waters, Maxine",(D),78.4,16.7,78.0,20.0,75,22,0,0,1,1,1,0,4,7,0,0,1,9,,
CA-44,"Barragan, Nanette",(D),83.0,12.3,84.7,13.6,81,16,1,0,0,1,0,1,0,3,7,6,4,6,,
CA-45,"Walters, Mimi",(R),49.8,44.4,43.0,54.8,46,51,1,0,1,0,0,1,8,4,0,8,7,3,,
CA-46,"Correa, Lou",(D),66.3,27.9,61.4,36.2,58,39,0,0,1,0,0,1,3,9,4,2,1,9,,
CA-47,"Lowenthal, Alan",(D),62.6,31.0,60.0,37.5,58,39,1,1,1,0,0,1,6,0,0,5,5,5,,
CA-48,"Rohrabacher, Dana",(R),47.9,46.2,43.0,54.7,46,51,1,0,1,0,1,0,9,2,0,7,5,5,,
CA-49,"Issa, Darrell",(R),50.7,43.2,45.7,52.2,49,48,0,0,0,1,0,1,7,2,7,2,7,3,,
CA-50,"Hunter, Duncan",(R),39.6,54.6,37.6,60.4,39,58,0,0,0,1,0,1,6,6,6,4,4,6,,
CA-51,"Vargas, Juan",(D),71.8,22.8,69.4,28.9,65,32,1,0,0,0,1,0,8,8,4,9,2,8,,
